state,newspaper,users_monthly,circulation,name1,name2
CA,www.latimes.com,"32,500,119","446,391",latimes,LA Times
CA,www.sfchronicle.com,"2,248,731","163,307",sfchronicle,SF Chronicle
CA,www.utsandiego.com,"3,222,961","144,085",utsandiego,UT San Diego
CA,www.ocregister.com,,,ocregister,OC Register
CA,www.sfgate.com,,,sfgate,SF Gate
CA,www.sacbee.com,,,sacbee,Sacramento Bee
CA,www.sfexaminer.com,,,sfexaminer,SF Examiner
CA,www.mercurynews.com,,,mercurynews,Mercury News
CA,www.fresnobee.com,,,fresnobee,Fresno Bee
CA,www.pe.com,,,pe,PE
AL,www.al.com/birmingham,,,birmingham,Birmingham
AL,www.tuscaloosanews.com,,,tuscaloosanews,Tuscaloosa News
AL,www.montgomeryadvertiser.com,,,montgomeryadvertiser,Montgomery Adviser
AL,www.dothaneagle.com,,,dothaneagle,Dothan Eagle
AL,www.timesdaily.com,,,timesdaily,Times Daily
AL,www.decaturdaily.com,,,decaturdaily,Decatur Daily
AL,www.annistonstar.com,,,annistonstar,Anniston Star
AL,www.gadsdentimes.com,,,gadsdentimes,Gadsden Times
AL,www.al.com,,,al,AL
NY,www.nytimes.com,,,nytimes,NY Times
NY,www.wsj.com,,,wsj,Wall Street Journal
NY,www.nypost.com,,,nypost,NY Post
NY,www.newsday.com,,,newsday,Newsday
NY,www.nydailynews.com,,,nydailynews,NY Daily News
NY,www.amny.com,,,amny,Amny
NY,www.metro.us/new-york,,,metro,Metro
NY,www.buffalonews.com,,,buffalonews,Buffalo News
NY,www.democratandchronicle.com,,,democratandchronicle,Democrat And Chronicle
NY,www.syracuse.com,,,syracuse,Syracuse
MN,www.startribune.com,,,startribune,Star Tribune
MN,www.twincities.com,,,twincities,Twin Cities
MN,www.postbulletin.com,,,postbulletin,Post Bulletin
MN,www.duluthnewstribune.com,,,duluthnewstribune,Duluth News Tribune
MN,www.sctimes.com,,,sctimes,St. Clould Times
MN,www.mndaily.com,,,mndaily,Minesota Daily
MN,www.mankatofreepress.com,,,mankatofreepress,Mankato Free Press
MN,www.faribault.com,,,faribault,Faribault
MN,www.southernminn.com/owatonna_peoples_press,,,southernminn,Southern Minnesota
MN,www.wctrib.com,,,wctrib,West Central Tribune
WY,www.wyomingnews.com,,,wyomingnews,Wyoming News
WY,www.jhnewsandguide.com,,,jhnewsandguide,Jackson Wyoming News And Guide
WY,www.casperstartribune.net,,,casperstartribune,Casperstar Tribune
WY,www.rocketminer.com,,,rocketminer,Roket Miner
WY,www.dailyranger.com,,,dailyranger,Daily Ranger
WY,www.gillettenewsrecord.com,,,gillettenewsrecord,Gillete News Record
WY,www.laramieboomerang.com,,,laramieboomerang,Laraie Boomerang
WY,www.thesheridanpress.com,,,thesheridanpress,The Sheridan Press
WY,www.wyodaily.com,,,wyodaily,Wyoming Daily
WY,www.rawlinstimes.com,,,rawlinstimes,Rawlins Times
