,Unnamed: 0,state,newspaper,link,title,story
0,0,CA,www.latimes.com,http://www.latimes.com/opinion/op-ed/la-oe-angell-marijuana-democrats-20180712-story.html,Democrats still haven't figured out that legal weed is a winning issue,"In 2016, Hillary Clinton didn’t endorse legalization, instead adopting the Obama administration’s “hands off states” approach. It’s worth pointing out that Libertarian candidate Gary Johnson and Green Jill Stein — who both campaigned on legalization — earned more votes than the margin between Clinton and Donald Trump in key states Michigan, Pennsylvania and Wisconsin. During San Francisco Rep. Nancy Pelosi’s four years as House speaker, moreover, Democrats only allowed one floor vote on Rohrabacher’s medical cannabis amendment. Republicans, on the other hand, allowed annual votes in the four preceding years and after regaining control of the chamber in 2014 and 2015. (They have since moved to block nearly all marijuana measures from consideration)."
1,1,CA,www.latimes.com,http://www.latimes.com/local/lanow/la-me-ln-marijuana-status-20180423-story.html,"Marijuana growers, manufacturers have yet to get the green light from L.A.","As of Friday, the department had granted approval to 139 pot shops that had been operating in line with an earlier set of city rules — the group of businesses that were first in line for approval. But before other marijuana businesses can apply, the city has been trying to work out remaining details for its ""social equity"" program, which is intended to help people and communities hit hardest by the war on drugs."
2,2,CA,www.latimes.com,http://www.latimes.com/style/la-lb-667-43289-la-me-ln-marijuana-status-20180423-htmlstory.html,"Marijuana growers, manufacturers have yet to get the green light from L.A.","Months after California legalized the marijuana business, pot growers and manufacturers lament that they are still locked out of the legal industry in Los Angeles.

More than 100 shops have already gotten city approval in Los Angeles, but not the companies that have historically furnished them with cannabis, which were supposed to be second in line under a complex set of city regulations passed in December.

L.A. had originally planned to finish processing their applications by April but has not even started accepting that paperwork. As 4/20 rolled around Friday — the informal holiday for pot enthusiasts — there was no official word on when that would happen."
3,3,CA,www.latimes.com,http://www.latimes.com/opinion/op-ed/la-oe-damico-marijuana-ad-restrictions-20180618-story.html,Keep marijuana ads a football field (or two) away from your kids,"In our study, teens who reported seeing more medical marijuana advertising were more likely to report having used marijuana in the previous 30 days, and they were more likely to say they expected to use it within the next six months. They were also likely to express more positive beliefs about the drug, such as agreeing that marijuana could help someone have more fun or temporarily escape their problems, and to report more negative consequences from marijuana."
4,4,CA,www.latimes.com,http://www.latimes.com/business/la-fi-pot-friendly-hotels-20180622-story.html,Full vending machines. Pot on the pillow. What some California hotels are doing to attract marijuana smokers,"The hotel sits on nine acres of land, with a large section that remains undeveloped. Thatcher has notions of one day adding an upscale restaurant or a “bud bar” where guests can buy cannabis. For now, he directs his guests, who hail from as far away as Chicago and Miami, to a pot dispensary down the road."
5,5,CA,www.latimes.com,http://www.latimes.com/business/la-fi-cannabis-real-estate-20180331-story.html,Here's why pot sellers are paying prime rents for warehouse and storefront space,"""People think it's easy, but it's not,"" he said. ""The first two or three crops are disappointing. You've got to stay hard in the paint and learn from every mistake. We're all just going with the flow, learning as we go along."""
6,6,CA,www.latimes.com,http://www.latimes.com/politics/la-na-pol-trump-marijuana-20180608-story.html,Trump says he is likely to support ending blanket federal ban on marijuana,"“If you are in the marijuana business … you can’t get a bank loan or set up a bank account because of concern over the conflict between state and federal law,” Gardner said at a news conference Thursday to unveil the new bill. “We need to fix this. It is time we take this industry out of the shadows, bring these dollars out of the shadows.”"
7,7,CA,www.latimes.com,http://www.latimes.com/local/lanow/la-me-california-marijuana-sales-20180101-story.html,"Recreational pot sales roll out in California, with celebratory 'blunts' and big crowds","The state has issued dozens of permits for retailers to begin recreational sales this week, expanding a market that is expected to grow to $7 billion annually by 2020. Several of those retailers are in West Hollywood, but they won't open until Tuesday at the city's request. That makes Santa Ana's licensed stores the closest option for Angelenos who want to buy recreational marijuana on New Year's Day. Buyers could also trek to San Diego or the Palm Springs area to purchase pot."
8,8,CA,www.latimes.com,http://www.latimes.com/local/lanow/la-me-ln-marijuana-prep-20171231-story.html,California pot shops prepare for their first day of legal recreational marijuana sales,"The state has issued dozens of permits for retailers to begin recreational sales this week, expanding a market that is expected to grow to $7 billion annually by 2020 in California. Several of those retailers are in West Hollywood, but they won't open until Tuesday at the city's request. That makes Santa Ana's licensed stores the closest option for Angelenos who want to buy recreational marijuana on New Year's Day, unless buyers are willing to trek to San Diego or the Palm Springs area."
9,9,CA,www.latimes.com,http://www.latimes.com/local/california/la-me-ln-legal-pot-day-one-20180102-story.html,"For marijuana users, it's high times as California makes recreational use legal","As Lucas Starr, 33, perused the shop, he thought about how much perceptions of marijuana had shifted during his lifetime. Growing up, the message from his parents and from society, he said, was that marijuana was a dangerous drug — a gateway toward a wrecked life. He thought back to the PSA commercials showing a fried egg and an announcer intoning, ""This is your brain on drugs."" Starr, a musician and producer visiting from Dallas, said he initially bought into the fear, but eventually smoked marijuana and found that it calmed his anxiety."
